n 5000
1943-11-26 M 11016
1943-12-01 M 12178
1943-12-29 M 25191
1943-12-31 F 28768
1944-01-19 M 30336
1944-01-21 F 20899
1944-01-23 M 17269
1944-02-15 F 29004
1944-02-17 M 32052
1944-02-19 F 37602
1944-02-21 F 40996
1944-03-05 M 35394
1944-03-11 M 33235
1944-05-03 F 34719
1944-05-14 M 4060
1944-05-15 F 40120
1944-05-21 F 31870
1944-05-26 M 14418
1944-06-12 M 19006
1944-06-21 M 41358
1944-06-23 M 9699
1944-06-25 F 34599
1944-07-01 M 17925
1944-07-22 M 3811
1944-07-29 F 21642
1944-08-16 M 22992
1944-08-17 M 15078
1944-08-31 M 1077
1944-09-04 M 22069
1944-09-06 M 25266
1944-09-11 M 48417
1944-09-13 M 22098
1944-09-17 M 35740
1944-09-29 M 17496
1944-10-07 F 19392
1944-10-19 M 40969
1944-10-20 M 6783
1944-10-24 M 48385
1944-11-05 F 38694
1944-11-15 M 2893
1944-11-19 M 1018
1944-11-20 F 33604
1944-11-27 M 28447
1944-12-06 M 48357
1944-12-20 M 24432
1945-01-15 M 22726
1945-01-21 F 13528
1945-01-25 M 38517
1945-02-07 M 18760
1945-02-09 M 48349
1945-02-11 F 34332
1945-02-13 M 2116
1945-02-24 F 31794
1945-02-24 F 2020
1945-03-13 M 36474
1945-03-13 F 17553
1945-03-17 M 8635
1945-03-20 M 382
1945-04-09 F 45714
1945-04-09 F 17583
1945-04-10 M 45777
1945-04-22 F 3751
1945-04-22 F 38989
1945-05-06 F 47623
1945-05-12 M 19431
1945-05-13 F 41986
1945-05-14 M 5245
1945-05-18 F 1938
1945-05-24 F 29395
1945-06-09 F 5457
1945-06-10 F 37537
1945-06-16 M 14994
1945-06-18 M 22314
1945-06-24 M 18349
1945-07-16 F 3856
1945-07-17 M 2931
1945-07-19 M 48229
1945-08-09 M 10435
1945-08-16 M 34462
1945-08-29 F 11056
1945-09-07 F 29082
1945-09-07 M 15564
1945-09-08 F 13555
1945-09-09 F 5034
1945-09-15 F 27604
1945-09-17 F 40863
1945-09-18 F 30754
1945-09-21 F 39852
1945-09-29 F 3847
1945-10-06 M 12631
1945-10-20 F 44647
1945-10-21 F 41511
1945-11-05 M 22173
1945-11-07 M 39864
1945-11-17 F 42613
1945-12-03 F 34641
1945-12-08 F 30453
1945-12-26 M 26101
1946-01-01 F 3835
1946-01-08 F 27918
1946-01-15 F 33190
1946-01-21 F 297
1946-01-25 F 14740
1946-02-16 F 8832
1946-02-27 F 47970
1946-03-05 M 12
1946-03-09 M 1995
1946-03-21 M 11887
1946-03-24 M 30036
1946-03-29 F 3561
1946-04-02 F 17262
1946-04-06 F 15610
1946-04-22 F 13968
1946-05-06 F 23109
1946-05-13 M 13822
1946-05-28 M 5449
1946-06-06 M 21891
1946-06-07 M 48888
1946-06-08 F 2950
1946-06-20 M 11409
1946-06-22 F 9456
1946-07-09 F 19951
1946-07-10 M 13861
1946-07-25 M 21330
1946-07-26 F 36748
1946-08-02 F 27555
1946-08-29 M 23130
1946-09-03 F 35091
1946-09-07 F 36834
1946-09-07 F 23409
1946-09-07 M 42127
1946-10-03 M 396
1946-10-10 M 20460
1946-10-19 F 48360
1946-10-21 M 2508
1946-10-21 F 1839
1946-10-23 M 36658
1946-10-24 M 20686
1946-10-31 M 19314
1946-11-08 F 46288
1946-11-13 M 16567
1946-11-24 M 24061
1946-11-29 M 28702
1946-12-22 M 37303
1946-12-25 M 31167
1946-12-31 M 11515
1947-01-10 M 15669
1947-01-16 M 2086
1947-01-19 M 9129
1947-01-30 M 28612
1947-02-06 F 18612
1947-02-07 M 19378
1947-02-12 F 32749
1947-02-25 F 9079
1947-03-11 F 35025
1947-03-12 M 28698
1947-03-15 F 24660
1947-03-22 F 19323
1947-03-25 M 43827
1947-03-30 F 11146
1947-03-30 M 16684
1947-03-31 M 4627
1947-04-04 F 9118
1947-04-05 F 16596
1947-04-11 M 34474
1947-04-11 M 14965
1947-04-25 F 42673
1947-04-28 M 46014
1947-05-06 F 8670
1947-05-07 F 13837
1947-05-27 M 23961
1947-06-09 M 36562
1947-06-29 F 11791
1947-06-30 F 21312
1947-07-21 F 15654
1947-08-14 M 29523
1947-08-18 F 5055
1947-08-19 F 48838
1947-08-23 M 34146
1947-08-26 M 13921
1947-09-14 F 42496
1947-09-25 M 13621
1947-10-12 F 18865
1947-10-22 M 44836
1947-10-29 M 41931
1947-10-30 M 44821
1947-11-03 M 48834
1947-11-09 F 1501
1947-11-09 F 9532
1947-11-25 F 12157
1947-11-27 F 35487
1947-11-28 F 876
1947-12-01 F 36055
1947-12-03 M 16371
1947-12-11 M 34114
1947-12-27 M 31917
1948-01-05 F 31194
1948-01-08 M 21408
1948-01-14 F 3139
1948-01-19 F 16998
1948-02-18 M 27753
1948-03-10 M 46032
1948-03-17 F 13254
1948-03-28 M 18346
1948-03-28 F 22575
1948-04-15 M 48120
1948-04-16 F 26050
1948-04-16 M 46764
1948-04-24 M 35050
1948-05-26 M 33567
1948-06-05 F 25857
1948-06-17 M 130
1948-06-30 M 42513
1948-07-01 M 27375
1948-07-05 M 37270
1948-07-12 F 27364
1948-07-21 F 38382
1948-07-28 M 9121
1948-08-10 M 14245
1948-09-07 F 35716
1948-09-14 M 28209
1948-09-20 M 41707
1948-09-27 F 12160
1948-10-07 F 48955
1948-10-23 F 16090
1948-10-28 M 43638
1948-11-03 M 20625
1948-11-04 F 26022
1948-11-18 F 11892
1948-11-27 M 6327
1948-12-04 M 8089
1949-01-19 F 41209
1949-01-25 F 38271
1949-01-29 M 36816
1949-02-03 F 29227
1949-02-22 M 4776
1949-02-25 F 8083
1949-03-10 M 47197
1949-03-20 M 10084
1949-03-31 M 30766
1949-04-07 M 39513
1949-04-13 F 40239
1949-04-29 M 13581
1949-04-30 M 17766
1949-05-24 M 9679
1949-06-01 F 6678
1949-06-11 F 5590
1949-06-11 F 4527
1949-06-12 F 26935
1949-06-19 F 28626
1949-06-24 M 8653
1949-06-30 M 9615
1949-07-01 M 15777
1949-07-02 F 27753
1949-07-14 F 26526
1949-07-16 F 27582
1949-07-28 M 2347
1949-08-03 F 18291
1949-08-12 M 45552
1949-08-25 M 6262
1949-09-03 M 31855
1949-09-10 M 26121
1949-09-19 F 47560
1949-09-28 M 6711
1949-10-02 M 40644
1949-10-03 F 9349
1949-10-12 M 19660
1949-10-14 F 42412
1949-10-14 F 24804
1949-10-21 M 2752
1949-10-21 M 3765
1949-11-13 M 47436
1949-11-15 F 6912
1949-11-21 M 1722
1949-12-23 M 45613
1950-01-20 F 8388
1950-01-21 F 27228
1950-01-26 F 40929
1950-02-01 F 8799
1950-03-02 M 30145
1950-03-13 F 33331
1950-03-20 M 2304
1950-03-28 M 5112
1950-04-19 M 42130
1950-04-30 M 42685
1950-05-14 M 26406
1950-05-19 M 37041
1950-05-24 M 47812
1950-05-31 M 37308
1950-06-12 M 45916
1950-06-21 M 7378
1950-06-23 F 4692
1950-06-25 F 24582
1950-06-26 F 24870
1950-07-14 M 26910
1950-07-20 F 38950
1950-07-30 F 39639
1950-08-09 M 23736
1950-08-10 M 29686
1950-08-15 F 39174
1950-08-27 M 10818
1950-09-04 M 38983
1950-09-05 F 46527
1950-09-12 F 33664
1950-09-15 F 23493
1950-10-02 M 15862
1950-10-17 F 38364
1950-10-22 M 16771
1950-10-25 M 17205
1950-11-01 F 48685
1950-11-04 F 124
1950-11-06 F 42003
1950-11-19 M 2340
1950-11-27 F 43938
1950-11-29 M 11770
1950-12-04 F 2926
1950-12-04 M 28770
1950-12-19 M 39747
1950-12-21 M 11899
1950-12-24 F 1033
1951-02-02 F 107398
1951-02-16 F 32356
1951-02-19 F 80388
1951-02-21 M 40859
1951-03-16 M 55748
1951-03-22 F 66126
1951-03-26 F 174905
1951-04-18 F 35277
1951-04-24 F 7843
1951-04-26 M 127869
1951-04-28 M 28787
1951-05-03 M 47839
1951-05-21 M 42207
1951-06-05 M 115478
1951-06-10 F 141999
1951-06-11 M 150040
1951-06-15 F 143891
1951-06-21 F 37257
1951-07-01 F 7579
1951-07-05 F 144688
1951-07-14 M 92939
1951-07-30 M 153538
1951-08-08 M 94242
1951-08-11 M 29320
1951-08-19 F 73260
1951-08-30 F 76928
1951-09-01 M 21587
1951-09-07 M 164862
1951-09-08 F 5142
1951-09-19 F 65730
1951-09-27 F 92790
1951-10-04 M 81598
1951-10-08 F 53779
1951-10-23 F 6154
1951-10-23 F 23859
1951-10-30 M 83836
1951-11-05 F 102426
1951-11-06 F 139562
1951-11-06 M 69943
1951-11-13 F 142186
1951-11-15 F 38252
1951-11-16 M 54868
1951-11-20 F 33550
1951-12-01 M 61539
1951-12-11 F 64812
1951-12-14 M 168844
1951-12-19 F 74734
1951-12-20 F 90332
1952-01-01 F 78149
1952-01-12 F 75091
1952-01-13 M 85525
1952-01-15 M 55836
1952-01-20 F 98279
1952-02-07 M 45050
1952-02-09 F 62359
1952-02-25 F 87593
1952-02-27 M 115687
1952-03-15 M 35744
1952-03-22 M 174515
1952-03-23 M 38714
1952-03-29 F 100474
1952-03-31 M 1105
1952-04-01 M 155397
1952-04-05 F 34787
1952-04-13 F 77500
1952-04-15 F 26499
1952-04-19 M 75042
1952-04-26 F 22060
1952-04-26 F 144232
1952-05-01 M 65351
1952-05-04 M 126478
1952-05-06 F 32505
1952-05-06 M 93577
1952-05-06 M 82032
1952-05-08 M 8563
1952-05-10 M 113465
1952-05-13 M 21384
1952-05-24 F 90255
1952-05-30 M 90761
1952-05-30 F 73623
1952-06-06 F 47157
1952-06-09 M 1936
1952-06-12 F 68299
1952-06-13 F 109571
1952-06-15 F 173915
1952-06-16 M 75504
1952-06-25 M 105050
1952-06-29 M 63250
1952-06-29 M 34853
1952-07-19 F 141801
1952-07-21 F 56243
1952-07-26 M 92444
1952-08-06 M 26669
1952-09-13 M 29870
1952-09-15 F 73650
1952-10-03 F 90145
1952-10-06 M 62359
1952-10-12 M 112205
1952-10-23 M 51188
1952-10-30 F 119658
1952-12-03 F 148076
1952-12-20 F 38973
1952-12-23 M 82857
1953-01-08 M 15125
1953-01-21 F 37328
1953-01-30 F 65197
1953-02-02 M 158394
1953-02-08 M 28792
1953-02-08 M 131813
1953-02-12 F 31174
1953-02-12 F 18661
1953-02-15 M 72913
1953-02-19 M 50072
1953-02-23 M 71835
1953-03-13 F 10972
1953-03-18 F 71104
1953-04-17 F 145590
1953-04-19 M 114697
1953-04-26 F 136537
1953-04-27 M 121500
1953-05-05 M 68420
1953-05-15 M 105539
1953-05-15 M 26548
1953-05-20 F 166358
1953-05-31 F 44528
1953-06-03 M 118497
1953-06-09 M 127561
1953-06-12 F 80718
1953-06-23 F 125537
1953-06-24 M 153906
1953-06-27 M 64449
1953-07-10 M 46106
1953-07-17 M 164208
1953-07-20 F 26653
1953-07-25 F 85118
1953-07-29 M 80547
1953-07-30 M 104137
1953-08-09 M 56881
1953-08-12 F 74437
1953-08-14 M 153538
1953-08-18 F 157283
1953-08-26 M 665
1953-09-25 F 149077
1953-09-29 M 60258
1953-10-18 F 144067
1953-10-18 M 119058
1953-11-09 M 34001
1953-11-19 M 47217
1953-12-02 F 164131
1953-12-02 F 125829
1953-12-29 F 112084
1954-01-12 F 118145
1954-01-29 M 18012
1954-02-12 F 76120
1954-02-12 F 179520
1954-03-13 F 120169
1954-03-16 M 14674
1954-03-18 F 81499
1954-03-22 F 139804
1954-03-27 M 23001
1954-03-30 F 18672
1954-04-03 M 165803
1954-04-14 M 174542
1954-04-15 F 168536
1954-04-16 F 165951
1954-04-20 M 160237
1954-04-25 M 91025
1954-04-26 M 157069
1954-04-28 F 102509
1954-05-02 M 89391
1954-05-15 F 66440
1954-05-21 F 111556
1954-05-30 F 133815
1954-06-10 F 169691
1954-06-12 F 167772
1954-06-17 F 130020
1954-06-18 M 47839
1954-06-19 F 86196
1954-06-25 F 143836
1954-07-09 M 74701
1954-07-17 F 74228
1954-07-22 F 161199
1954-07-23 M 41244
1954-07-26 F 49379
1954-07-29 F 146426
1954-08-26 M 112766
1954-08-30 F 108674
1954-09-04 F 59339
1954-09-08 M 106326
1954-09-09 F 33643
1954-09-16 M 2354
1954-09-19 M 82478
1954-09-24 F 15834
1954-09-27 M 176627
1954-10-04 F 81284
1954-10-23 M 42757
1954-10-31 M 137340
1954-11-10 F 76455
1954-11-12 F 95414
1954-11-14 M 114367
1954-11-19 M 74915
1954-11-22 F 148505
1954-12-04 M 31135
1954-12-11 F 55962
1954-12-18 F 423
1955-01-06 M 28264
1955-01-06 F 118585
1955-01-08 F 103713
1955-01-23 F 138495
1955-01-24 F 95023
1955-01-25 M 77044
1955-01-26 M 137241
1955-02-15 F 65730
1955-02-24 F 104956
1955-03-02 M 167414
1955-03-04 M 79299
1955-03-23 F 106051
1955-03-24 M 155045
1955-04-02 M 71302
1955-04-03 F 176451
1955-04-09 F 91839
1955-04-16 F 67045
1955-04-22 F 31201
1955-05-04 F 176874
1955-05-06 M 135399
1955-05-07 M 106595
1955-05-21 M 2222
1955-06-08 M 935
1955-06-20 F 171292
1955-06-25 F 41123
1955-06-27 F 12270
1955-07-04 F 162998
1955-07-04 F 145255
1955-07-12 M 25800
1955-07-17 F 70064
1955-07-18 M 133892
1955-07-26 F 101117
1955-08-02 M 50413
1955-08-15 M 131928
1955-08-15 M 92631
1955-08-22 F 57277
1955-08-26 F 8134
1955-08-30 M 11984
1955-09-12 M 45633
1955-09-15 F 156068
1955-10-02 M 144551
1955-10-06 F 66687
1955-10-15 F 71929
1955-10-16 F 35079
1955-10-22 F 70966
1955-10-23 M 118536
1955-10-26 M 141245
1955-10-29 M 55500
1955-11-03 F 5307
1955-11-04 F 74140
1955-11-21 F 169785
1955-11-23 M 79937
1955-11-25 M 52079
1955-11-30 M 175895
1955-12-17 F 4895
1955-12-23 M 134376
1956-01-10 F 92119
1956-01-19 F 27439
1956-01-21 M 30684
1956-01-22 F 175428
1956-02-01 M 146272
1956-02-03 F 5258
1956-02-11 M 147251
1956-02-11 F 45287
1956-02-15 F 92829
1956-02-28 F 103884
1956-03-11 F 9586
1956-03-14 M 134002
1956-03-17 M 154660
1956-03-27 M 90337
1956-04-07 M 74811
1956-04-09 F 78386
1956-04-13 M 150155
1956-04-28 M 161238
1956-05-02 F 18870
1956-05-07 F 170401
1956-05-11 M 13728
1956-05-23 F 128227
1956-05-25 F 5241
1956-05-30 F 130366
1956-06-01 M 58894
1956-06-03 F 42746
1956-06-05 M 50831
1956-06-10 M 157250
1956-06-13 M 138006
1956-06-19 M 3564
1956-06-20 M 153939
1956-07-02 M 172194
1956-07-28 M 140409
1956-07-30 F 148082
1956-08-01 M 91877
1956-08-01 M 96024
1956-08-07 M 102069
1956-08-20 F 46359
1956-09-10 F 160094
1956-09-18 M 151651
1956-09-19 M 20702
1956-09-27 F 57381
1956-10-03 M 141223
1956-10-16 F 125306
1956-10-23 F 160033
1956-10-23 M 98593
1956-10-29 F 38978
1956-11-03 M 77539
1956-11-06 M 69509
1956-11-09 F 97801
1956-11-13 F 125103
1956-11-13 F 935
1956-11-16 M 15614
1956-11-19 F 169664
1956-11-20 F 100628
1956-11-22 M 78375
1956-11-24 F 17292
1956-12-07 M 59235
1956-12-07 M 16786
1956-12-18 F 46926
1956-12-19 M 34600
1956-12-21 F 93676
1956-12-24 M 159170
1956-12-25 F 38896
1957-01-16 M 177133
1957-01-27 F 91756
1957-02-12 M 55308
1957-02-13 F 9933
1957-02-14 F 172535
1957-02-16 F 42702
1957-02-17 F 127215
1957-02-23 M 178981
1957-03-04 M 172738
1957-03-08 F 42449
1957-03-09 M 38973
1957-03-12 F 126868
1957-03-22 M 418
1957-03-31 F 142301
1957-04-04 M 77517
1957-04-09 F 102784
1957-04-17 M 159984
1957-04-27 F 2453
1957-05-03 F 14883
1957-05-17 F 127341
1957-05-23 M 95298
1957-05-24 F 35403
1957-05-25 M 34639
1957-05-31 F 10136
1957-06-02 F 138006
1957-06-07 F 84007
1957-06-10 M 80338
1957-06-13 F 116770
1957-06-18 M 25349
1957-06-29 F 73183
1957-07-05 F 158757
1957-07-19 F 32290
1957-07-20 F 69432
1957-07-21 F 18722
1957-07-30 M 98351
1957-08-10 F 64113
1957-08-23 F 32923
1957-09-05 F 158818
1957-09-11 M 119119
1957-09-11 F 64619
1957-09-25 M 143082
1957-09-28 F 13750
1957-10-02 F 26763
1957-10-12 F 149572
1957-10-13 F 57398
1957-10-17 M 89611
1957-10-31 M 112640
1957-11-16 F 75867
1957-11-18 F 84903
1957-11-26 M 150980
1957-12-04 F 11671
1957-12-11 M 132539
1957-12-13 F 118354
1957-12-16 F 163157
1957-12-23 M 86146
1957-12-28 M 49923
1958-01-26 M 122050
1958-01-28 F 169675
1958-02-08 M 130229
1958-02-14 M 116154
1958-02-18 F 154440
1958-02-26 F 15774
1958-02-28 F 104533
1958-03-04 M 17402
1958-03-07 F 72495
1958-03-11 M 49973
1958-03-14 M 159340
1958-04-01 M 129464
1958-04-05 M 129030
1958-04-11 M 98538
1958-04-18 F 18766
1958-05-01 M 192
1958-05-10 M 37581
1958-06-03 F 58300
1958-06-12 F 8057
1958-06-15 M 161667
1958-06-16 M 130801
1958-06-30 M 123838
1958-07-06 M 65153
1958-07-23 M 77511
1958-09-06 F 102503
1958-09-15 M 155743
1958-09-16 M 4004
1958-09-18 M 97828
1958-10-08 F 30805
1958-10-08 F 147790
1958-10-24 F 148775
1958-10-27 M 84826
1958-10-29 M 1754
1958-11-03 M 5830
1958-11-03 M 149897
1958-11-21 M 108685
1958-12-18 M 115104
1958-12-22 M 10142
1959-01-04 F 62216
1959-01-10 M 104104
1959-01-18 M 131367
1959-01-19 M 55682
1959-01-20 F 5115
1959-01-21 F 142136
1959-02-05 F 128133
1959-02-05 M 8343
1959-02-12 F 121104
1959-02-16 F 176704
1959-02-17 F 6253
1959-02-22 F 5577
1959-03-11 F 79970
1959-03-24 F 119949
1959-03-27 M 141075
1959-03-27 F 164675
1959-03-29 F 111314
1959-04-10 M 10956
1959-04-11 M 160501
1959-04-21 M 160660
1959-04-25 M 60813
1959-04-26 M 25272
1959-05-02 F 138138
1959-05-04 F 40656
1959-05-13 M 138853
1959-05-23 M 14223
1959-05-31 F 128491
1959-06-05 F 66055
1959-06-10 M 77352
1959-06-30 F 107409
1959-07-01 M 22176
1959-07-06 F 174636
1959-07-16 F 25146
1959-07-20 F 90491
1959-07-25 M 157217
1959-07-26 M 32747
1959-08-13 M 69927
1959-08-14 M 62573
1959-08-23 F 9801
1959-08-26 F 41305
1959-09-09 M 164065
1959-09-20 M 157366
1959-09-26 M 57073
1959-09-29 M 38995
1959-10-16 M 170302
1959-10-20 F 19734
1959-10-30 F 70466
1959-11-17 M 81675
1959-11-18 F 84458
1959-11-23 M 59565
1959-11-25 F 126786
1959-12-11 F 43499
1959-12-13 M 68040
1959-12-15 F 45408
1959-12-25 F 149374
1960-01-19 F 18480
1960-01-23 M 54604
1960-02-03 M 781
1960-02-04 F 103741
1960-02-06 F 122386
1960-02-06 F 20856
1960-02-08 M 167464
1960-02-09 M 123035
1960-02-10 M 175241
1960-02-18 F 142890
1960-02-20 M 97350
1960-02-22 F 979
1960-03-05 F 164521
1960-03-11 M 32697
1960-04-05 F 93362
1960-04-08 F 103257
1960-04-19 F 79755
1960-05-11 M 137505
1960-05-16 F 168058
1960-05-18 F 99341
1960-06-03 F 36696
1960-06-11 F 62221
1960-06-13 F 73980
1960-06-14 F 15972
1960-06-16 F 77473
1960-06-21 M 74910
1960-06-22 F 164389
1960-06-26 M 128782
1960-07-04 M 55550
1960-07-16 F 64058
1960-07-26 M 48950
1960-07-28 F 5967
1960-07-30 M 109235
1960-08-05 F 106364
1960-08-14 F 117348
1960-08-15 M 52855
1960-08-17 F 122853
1960-08-21 F 124591
1960-08-31 M 171105
1960-09-02 F 165269
1960-09-18 F 140453
1960-09-26 F 78523
1960-10-24 M 126824
1960-10-29 M 7282
1960-10-30 M 114119
1960-11-16 F 168883
1960-11-26 F 18474
1960-11-28 F 24596
1960-11-28 M 48125
1960-11-30 M 152212
1960-12-12 F 8343
1960-12-13 F 73661
1960-12-20 M 34661
1960-12-25 M 104186
1960-12-25 M 178139
1961-01-18 M 129030
1961-01-31 M 152645
1961-02-15 M 86975
1961-02-19 M 120495
1961-02-20 M 65020
1961-02-23 F 162370
1961-02-28 F 109695
1961-03-02 F 35330
1961-03-03 F 75075
1961-03-12 F 52805
1961-03-18 F 157940
1961-03-19 F 79470
1961-03-23 F 102580
1961-04-02 F 57220
1961-04-07 F 21740
1961-04-18 F 136050
1961-04-23 F 41610
1961-04-25 M 7300
1961-04-28 M 46915
1961-05-14 F 71580
1961-05-27 M 12105
1961-06-02 M 121525
1961-06-08 M 59620
1961-06-15 M 72110
1961-06-23 M 121885
1961-07-01 M 40505
1961-07-07 M 51780
1961-07-16 M 15175
1961-07-16 M 86760
1961-07-25 F 138740
1961-08-09 F 65130
1961-08-24 M 140240
1961-08-25 M 92830
1961-08-26 F 86720
1961-08-28 F 59635
1961-08-31 M 25795
1961-09-02 M 135830
1961-09-08 M 54930
1961-09-11 F 21435
1961-09-17 F 15505
1961-09-27 F 32725
1961-10-13 M 4200
1961-10-16 M 102890
1961-10-19 F 15560
1961-11-14 M 163610
1961-11-22 F 61675
1961-11-23 F 58900
1961-11-25 F 108770
1961-11-26 M 26455
1961-11-26 F 70400
1961-12-07 F 84645
1961-12-11 F 105415
1961-12-15 F 100060
1961-12-24 M 127795
1962-01-04 M 130995
1962-01-09 F 2165
1962-02-07 M 16000
1962-02-08 M 64385
1962-02-25 F 68605
1962-03-03 F 159690
1962-03-19 M 100705
1962-04-09 M 17600
1962-04-15 F 134085
1962-04-24 M 118965
1962-05-01 F 19110
1962-05-18 M 146315
1962-05-19 M 144060
1962-05-20 F 159130
1962-05-23 F 60240
1962-06-14 F 141340
1962-06-29 F 42225
1962-07-30 M 3555
1962-08-18 M 60195
1962-08-22 M 66460
1962-09-07 F 34955
1962-09-14 M 104545
1962-09-22 F 4560
1962-10-06 F 92440
1962-10-08 F 98960
1962-10-13 F 19005
1962-10-19 M 37290
1962-10-26 M 132105
1962-11-01 F 155245
1962-11-04 F 82390
1962-11-07 F 36345
1962-11-18 F 118535
1962-11-20 M 52920
1962-11-23 M 94760
1962-11-28 F 54805
1962-11-28 F 109575
1962-12-02 F 156110
1962-12-02 M 1200
1962-12-14 M 154155
1962-12-21 F 85760
1963-01-06 F 40470
1963-01-12 F 157410
1963-01-21 M 9210
1963-02-07 M 142585
1963-02-13 M 124805
1963-02-19 F 112005
1963-02-24 M 153440
1963-02-27 F 112315
1963-02-28 F 19345
1963-03-15 M 42100
1963-03-19 F 153825
1963-04-07 F 34895
1963-04-21 F 49250
1963-05-03 M 114950
1963-05-04 M 40690
1963-05-13 F 126215
1963-05-15 M 90070
1963-05-16 F 113445
1963-05-24 M 160035
1963-05-26 M 80725
1963-05-27 F 49075
1963-07-05 M 26355
1963-07-21 F 11515
1963-08-02 F 76185
1963-08-10 M 106220
1963-08-14 F 6025
1963-08-23 M 87180
1963-08-27 F 91435
1963-08-31 M 98045
1963-09-09 F 93875
1963-09-28 M 132135
1963-10-09 M 141555
1963-11-12 M 126730
1963-11-21 F 119155
1963-12-03 F 62885
1963-12-10 M 115305
1963-12-18 M 16375
1963-12-26 F 131955
1964-01-14 M 124005
1964-01-15 M 119660
1964-01-29 M 161660
1964-02-07 F 9745
1964-02-08 F 150780
1964-02-26 M 152290
1964-02-27 F 66425
1964-03-23 F 24815
1964-03-25 M 60245
1964-04-03 F 91395
1964-04-15 M 855
1964-04-18 F 85185
1964-04-22 M 116390
1964-04-22 M 87285
1964-05-06 F 375
1964-05-10 F 109210
1964-05-12 F 92970
1964-05-13 M 128450
1964-05-24 F 149235
1964-05-26 M 134020
1964-05-26 F 160670
1964-05-28 M 154740
1964-06-04 M 141750
1964-06-05 M 153475
1964-06-07 F 3485
1964-06-28 F 66325
1964-07-03 F 107885
1964-07-09 M 143975
1964-07-20 M 129145
1964-07-31 F 52445
1964-08-12 M 39590
1964-08-15 F 40960
1964-08-16 F 98915
1964-08-16 M 106080
1964-08-17 F 98325
1964-08-20 F 158445
1964-08-20 M 61740
1964-08-25 M 96550
1964-08-31 M 43460
1964-09-10 F 118260
1964-09-12 F 84825
1964-09-26 F 84635
1964-10-05 F 48395
1964-10-07 M 130135
1964-10-13 M 145705
1964-10-24 F 53080
1964-10-25 M 158115
1964-11-06 M 63115
1964-11-24 F 18070
1964-11-28 M 98355
1964-12-05 M 101640
1964-12-10 M 86370
1964-12-13 M 153075
1964-12-15 F 25670
1964-12-19 M 156390
1964-12-20 M 86155
1964-12-30 F 61880
1965-01-14 M 84550
1965-02-27 M 74625
1965-03-03 M 130050
1965-03-19 F 95725
1965-03-23 M 9950
1965-03-24 M 107440
1965-04-06 M 115245
1965-04-06 M 132485
1965-04-10 F 26185
1965-04-28 F 45900
1965-05-30 F 66530
1965-06-01 M 31875
1965-06-06 F 18355
1965-06-23 M 2500
1965-06-30 M 120175
1965-07-25 F 23060
1965-07-26 M 10675
1965-07-29 F 1790
1965-08-06 M 149445
1965-08-09 M 150
1965-08-15 M 59515
1965-08-20 F 126825
1965-08-22 M 128410
1965-08-26 M 141110
1965-08-26 M 3205
1965-08-30 M 8365
1965-09-03 M 97375
1965-09-07 F 119500
1965-09-09 M 148215
1965-09-24 M 103715
1965-09-28 F 160240
1965-10-03 F 88780
1965-10-16 F 19180
1965-10-23 M 138830
1965-10-31 M 108350
1965-11-16 M 112245
1965-11-20 F 125660
1965-11-26 F 53530
1966-01-06 M 87145
1966-01-10 M 40675
1966-01-13 M 45505
1966-01-15 F 148545
1966-01-16 F 76045
1966-01-21 F 145625
1966-01-23 M 5775
1966-01-25 F 100955
1966-01-29 M 131055
1966-01-30 M 58635
1966-02-01 F 148600
1966-02-11 M 19365
1966-02-27 M 115540
1966-03-14 M 158730
1966-03-24 M 101495
1966-03-26 M 104485
1966-04-05 F 59465
1966-04-07 M 44105
1966-04-08 M 39995
1966-04-09 M 72175
1966-04-10 M 19205
1966-04-12 F 40575
1966-04-20 F 157870
1966-04-30 F 23875
1966-05-07 M 141905
1966-05-20 F 33385
1966-05-29 F 94875
1966-06-05 M 54485
1966-06-12 M 68915
1966-06-20 F 19485
1966-06-26 F 60300
1966-07-04 F 45715
1966-07-08 M 150430
1966-07-09 F 36030
1966-07-18 M 12950
1966-07-20 M 19075
1966-07-24 M 133445
1966-07-28 M 47170
1966-07-29 F 78430
1966-08-02 F 130790
1966-08-03 M 27770
1966-08-12 M 6390
1966-09-02 F 19055
1966-09-03 M 29955
1966-09-04 F 46260
1966-09-06 F 23990
1966-09-15 F 25840
1966-09-28 F 125195
1966-10-01 M 20410
1966-10-05 F 95
1966-10-31 M 69205
1966-11-04 F 126320
1966-11-07 F 690
1966-11-29 M 151790
1966-12-07 F 139055
1966-12-11 M 118750
1966-12-14 M 89575
1966-12-15 F 122405
1967-01-21 M 45410
1967-01-30 M 145050
1967-02-01 M 35450
1967-02-03 M 78645
1967-02-07 M 91065
1967-02-10 F 88435
1967-02-12 F 115595
1967-03-09 F 146285
1967-03-09 M 23375
1967-03-10 M 67100
1967-03-22 M 111510
1967-03-26 F 147780
1967-04-02 F 144170
1967-04-18 F 134900
1967-04-24 F 34395
1967-05-02 F 102370
1967-05-06 F 110905
1967-05-14 F 143385
1967-05-17 M 22655
1967-05-18 M 35595
1967-05-25 F 52105
1967-05-28 M 18335
1967-06-08 M 135700
1967-06-16 M 27440
1967-07-03 F 158450
1967-07-04 M 74955
1967-07-04 M 61200
1967-07-07 F 63810
1967-07-15 M 54295
1967-07-26 M 76195
1967-07-27 F 59925
1967-08-19 F 19745
1967-10-09 F 154800
